projekt;kommun_bolag;lokaltyp;spar;entreprenad;storlek;uppdrag;inriktn_investbeslut;laga_kraft;tilldelning;byggstart;inflytt;byggtid_man;kalltyp;atypisk;kalla_url
Hagastaden VoB;Micasa Stockholm;VoB;nybygg ny DP;;90 VoB 379 mnkr;;inriktn KF 2020-10;DP laga kraft 2025-02;;;plan 2030 (sköts fr 2025);;primär (styrelsehandling);ja +5 år förskjutning;meetingspublic Micasa T2 2025
Bergholmsbacken VoB;Micasa Stockholm;VoB;nybygg ny DP;;80 VoB 213 mnkr;;inriktn 2019-12;DP laga kraft 2024-04;;;plan 2029;;primär (styrelsehandling);nej;meetingspublic Micasa T2 2025
Trossen 13 VoB;Micasa Stockholm;VoB;ombyggnad;TE samverkan (Skanska);120 VoB 902 mnkr;;KF 2024-12;;;plan 2027;plan slut2029;;primär (styrelsehandling);ja ombyggnad;meetingspublic Micasa T2 2025
Rinkeby VoB;Micasa Stockholm;VoB;nybygg FÄRDIGT;samverkan (NCC);90 platser;;;;entreprenad okt2019;höst2020;invigt 2022-09;24;sekundär;nej;mynewsdesk micasa
Berga/Lägerbålet;Linköping Lejonfast;VoB+förskola;nybygg;TE (RO-Gruppen);90 pl+förskola 10800 m2;;;;RO-Gruppen 2024-10;årsskifte 2024/25;dec2026;24;sekundär;lätt (blandtyp);byggnyheter.se corren.se
Harvestad vårdboende;Linköping Lejonfast;VoB;nybygg;TE (ED Bygg);80 pl 375 mnkr;;;;ED Bygg;höst2024;höst2026;24;sekundär;nej;corren.se 2024-07-13
Brokinds skola;Linköping Lejonfast;skola F-6+förskola;nybygg;;2750 m2 250-300 elev;;;;;2015 höst;2016-11;14;primär (LF-press);nej;via.tt.se
LSS Harvestad/Sturefors;Linköping Lejonfast;LSS;nybygg;;2x12;;social/omsorgsnämnd 2021-03;;;;plan höst2022;;primär (kommun press);nej;via.tt.se 2021-04-06
Dunkehalla gruppbostad;Jönköping kommun;LSS;nybygg;utförandeentr (Brixly);5 lgh 823 m2;;;;;2024-09;~2025-08;11;sekundär;nej;byggfaktadocu (404, via sökindex)
Domsjö LSS;Örnsköldsvik kommun;LSS;nybygg 2 gruppbost;TE (Rekab);12 lgh;media 2021;förslag 2021-12;;;2026-04;plan 2027-08;16;sekundär;ja svans+fördyrning;ornskoldsvik.se 2026-04-10
Perennvägen LSS;Linköping Lejonfast;LSS;nybygg;;6 boende;;;;;2025 sommar;plan 2026-09;14;sekundär;nej;LF/kommun via websearch
Idrottshall Oppebyskolan;Nyköping kommun;idrottshall fullstor;nybygg;styrd TE;2300 m2 56 mnkr;;;;;2022-08;2023-08;12;sekundär;nej;byggfaktadocu
Idrottshall Idrottsstråket;Lund kommun;idrottshall fullstor;nybygg;;40x24 125 mnkr;KoF-nämnd 2025-09;KF 2025-12;;;plan 2026;plan 2028;;sekundär;nej;lund.se skd.se
Vasa Arena;Linköping Lejonfast;idrottshall (2 hallar);nybygg ny DP;;7200 m2 160 mnkr;beslut ~2018;;3 bygglov (MÖD underkände 2021);;2018-09;invigning 2024-05;68;primär (LF-press)+sek;ja 4 års försening överklag;corren.se lejonfastigheter.se
Multihall Kallerstad;Linköping Lejonfast;idrottshall (3 hallar);nybygg ny DP;TE (Åhlin&Ekeroth);13700 m2;planering 2018;;DP pågick 2023;;2026-03;plan slut2027/2028;24;sekundär;ja lång planfas;svt.se corren.se byggfaktadocu
